id;start_date_time;end_date_time;available;reason;created_at;room_id
1;2025-08-19T07:17:17;2025-08-19T23:57:58;false;inspect;2025-08-19T14:45:34;1
2;2025-08-19T07:40:29;2025-08-19T19:59:59;false;as;2025-08-19T07:05:58;2
3;2025-08-19T13:01:29;2025-08-19T23:02:05;true;among anticodon cross;2025-08-19T12:09:39;3
4;2025-08-19T22:46:17;2025-08-19T13:32:25;false;sonata boo unruly;2025-08-19T06:55:18;4
5;2025-08-19T12:06:27;2025-08-19T11:15:06;true;sociable;2025-08-19T23:33:37;5
6;2025-08-19T14:59:56;2025-08-19T03:01:49;false;indeed;2025-08-19T10:44:49;6
7;2025-08-19T19:21:07;2025-08-19T10:04:32;true;a dish;2025-08-19T10:13:45;7
8;2025-08-19T07:40:53;2025-08-19T18:48:48;true;sway;2025-08-19T20:47:12;8
9;2025-08-20T00:02:53;2025-08-19T09:58:38;true;woot whereas questioningly;2025-08-19T12:34:55;9
10;2025-08-19T07:51:57;2025-08-19T16:16:40;false;bump;2025-08-19T15:04:00;10
