id;name;description;hours_before_event;refund_percentage;active
1;until pliers;../fake-data/blob/hipster.txt;8895;96;true
2;um supposing;../fake-data/blob/hipster.txt;19156;33;false
3;awkwardly;../fake-data/blob/hipster.txt;2711;6;true
4;poorly celebrated;../fake-data/blob/hipster.txt;8570;26;false
5;yahoo positively legend;../fake-data/blob/hipster.txt;17891;3;true
6;heartache;../fake-data/blob/hipster.txt;30556;20;false
7;jaggedly dual;../fake-data/blob/hipster.txt;26941;30;false
8;shyly forearm;../fake-data/blob/hipster.txt;5671;68;true
9;abscond yum a;../fake-data/blob/hipster.txt;28647;77;true
10;unless phrase;../fake-data/blob/hipster.txt;16767;32;false
