id;start_date_time;end_date_time;total_price;status;notes;created_at;updated_at;cancelled_at;cancel_reason;customer_id;room_id
1;2025-08-19T19:33:30;2025-08-19T09:33:26;12453.1;COMPLETED;../fake-data/blob/hipster.txt;2025-08-19T08:31:04;2025-08-19T23:39:57;2025-08-19T02:49:38;chip nifty finally;1;1
2;2025-08-19T22:32:14;2025-08-19T09:06:17;13373.42;CONFIRMED;../fake-data/blob/hipster.txt;2025-08-19T02:23:15;2025-08-19T23:32:58;2025-08-19T15:38:12;smog;2;2
3;2025-08-19T22:32:01;2025-08-19T15:34:57;23457.18;CANCELLED;../fake-data/blob/hipster.txt;2025-08-19T20:27:22;2025-08-19T15:10:17;2025-08-19T19:52:11;queasily whereas;2;3
4;2025-08-19T06:49:40;2025-08-19T17:47:11;16243.61;NO_SHOW;../fake-data/blob/hipster.txt;2025-08-19T12:22:24;2025-08-19T09:43:51;2025-08-19T17:44:02;ultimate;2;4
5;2025-08-19T17:32:10;2025-08-19T07:16:11;13498.24;IN_PROGRESS;../fake-data/blob/hipster.txt;2025-08-19T23:31:36;2025-08-19T06:46:34;2025-08-19T12:24:40;athwart focalise um;2;5
6;2025-08-19T18:52:30;2025-08-20T01:11:20;26815.17;PENDING;../fake-data/blob/hipster.txt;2025-08-19T10:23:33;2025-08-19T17:24:28;2025-08-19T13:02:36;hyphenation adaptation lieu;1;6
7;2025-08-19T15:16:37;2025-08-19T07:33:54;24718.26;COMPLETED;../fake-data/blob/hipster.txt;2025-08-19T05:10:36;2025-08-19T06:50:41;2025-08-19T04:54:13;uh-huh;2;7
8;2025-08-19T23:37:53;2025-08-19T23:41:30;26773.53;PENDING;../fake-data/blob/hipster.txt;2025-08-20T01:08:03;2025-08-19T15:23:32;2025-08-19T22:28:21;whereas pigsty;1;8
9;2025-08-19T04:04:01;2025-08-19T05:36:59;30958.36;IN_PROGRESS;../fake-data/blob/hipster.txt;2025-08-19T23:56:39;2025-08-19T12:43:42;2025-08-19T05:05:11;properly versus angrily;1;9
10;2025-08-19T10:01:54;2025-08-19T04:52:14;31637.44;CANCELLED;../fake-data/blob/hipster.txt;2025-08-19T12:37:41;2025-08-19T21:57:55;2025-08-19T06:35:48;yet yahoo;1;10
