id;name;description;address;city;state;zip_code;latitude;longitude;phone;email;website;image;active;created_at;updated_at;owner_id
1;ideal nifty plus;../fake-data/blob/hipster.txt;which geez;Franco de Nossa Senhora;phooey uh-huh vastly;37647-250;2077.38;9655.56;(77) 1928-6185;Fabricia50@bol.com.br;lest ick turret;geez before aha;false;2025-08-19T02:43:31;2025-08-19T10:22:24;1
2;fake impure which;../fake-data/blob/hipster.txt;confused ponder very;Saraiva do Sul;yowza hotfoot madly;49341-325;12387.66;12176.44;+55 (46) 1677-7951;Vitoria91@live.com;until authentic;shrilly oh actually;true;2025-08-19T11:56:39;2025-08-19T13:54:15;2
3;surface jellyfish wring;../fake-data/blob/hipster.txt;and scholarship;Santos de Nossa Senhora;powerfully;28355-504;13285.83;19846.32;(93) 05899-2785;Isabel.Reis@gmail.com;whose for whether;customise;false;2025-08-19T08:43:17;2025-08-19T11:02:44;1
4;offset finally;../fake-data/blob/hipster.txt;like step-mother;Maria do Norte;during surface;24704-083;4613.8;31324.44;(53) 91152-3288;Emanuelly53@yahoo.com;critical;pixellate;true;2025-08-19T16:36:15;2025-08-19T04:14:20;2
5;lone whoa;../fake-data/blob/hipster.txt;aha sew apropos;Warley de Nossa Senhora;rust;29870-797;15086.04;17103.04;(53) 5390-1962;MariaHelena_Xavier@yahoo.com;unless versus finally;beyond saloon but;false;2025-08-19T11:39:47;2025-08-19T05:33:08;2
6;yippee;../fake-data/blob/hipster.txt;director;Melo do Norte;impact acquaintance short;26761-543;7822.32;19552.1;(98) 16011-5104;Paulo.Braga@live.com;pale;properly zowie hunt;false;2025-08-19T23:43:32;2025-08-19T10:57:01;1
7;tuber urgently fabricate;../fake-data/blob/hipster.txt;scornful;Nogueira do Descoberto;quick until;54012-542;25245.53;28468.96;+55 (57) 4381-4446;Hugo.Saraiva27@live.com;phew boo save;brr;false;2025-08-19T12:15:21;2025-08-19T02:20:01;1
8;ouch;../fake-data/blob/hipster.txt;lest meanwhile solemnly;Daniel do Descoberto;questionably unless;00020-922;14458.99;20368.24;(21) 34394-6935;Lavinia.Reis@yahoo.com;squiggly famously milestone;although;true;2025-08-19T02:59:17;2025-08-19T05:31:26;1
9;than profane common;../fake-data/blob/hipster.txt;creaking supposing;Isis do Sul;wildly;44789-655;2067.61;31597.47;+55 (76) 9719-9672;Melissa_Braga84@live.com;knickers at uh-huh;pale butter;true;2025-08-19T03:27:42;2025-08-19T03:31:55;1
10;provided ick now;../fake-data/blob/hipster.txt;bossy solicit um;Pietro do Norte;instead next;02044-765;21891.41;16700.59;(62) 7558-0073;EnzoGabriel36@hotmail.com;beneath outbid hm;selfish rudely;true;2025-08-19T17:13:43;2025-08-20T00:43:32;1
